symbol,median_spread_pct
A,0.0008875234681685
AA,0.0006040471156749
AAL,0.0008067769261798
AAP,0.0012374706100729
AAPL,9.652509652514592e-05
ABBV,0.000559623187054
ABEV,0.0043572984749454
ABT,0.0003039975680193
ACAD,0.0009195402298852
ACN,0.0006851385390428
ACWI,8.066142367416912e-05
ADBE,0.0006249163058518
ADI,0.0007698599817158
ADM,0.0004331817197314
ADP,0.0006940427993059
ADSK,0.0009177318911833
AEE,0.0004983802641415
AEM,0.0006150166568806
AEO,0.0007858546168958
AEP,0.000291871382011
AES,0.0007833920877398
AFL,0.0003846523704202
AG,0.001246105919003
AGG,0.0001013119902739
AGNC,0.001025115325474
AIG,0.0003560619547801
AKAM,0.0006431281754453
ALB,0.0011027384671935
ALK,0.0008149959250203
ALL,0.0007827597289371
ALLY,0.0005267316302342
AMAT,0.0005476951163852
AMC,0.0034305317324184
AMD,0.0001872717625394
AMGN,0.0007522608709873
AMH,0.0003159058600537
AMLP,0.0002149844136301
AMT,0.0007470875263801
AMZN,0.0001265368960499
ANET,0.0005547080848702
ANF,0.0013627691469066
AON,0.000936554744156
APA,0.0004763038818767
APD,0.0010827637544832
APH,0.0003065603923972
APLE,0.0008220304151253
AR,0.0005527915975676
ARCC,0.0004571428571427
ARKK,0.0001588688537613
ARMK,0.0005494505494504
